budget,genres,popularity,release_date,revenue,runtime,title,vote_average,vote_count,release_year,return,actors,directors
0.0,"['Comedy', 'Horror']",0.135596,2013-10-12,0,6.0,The Sleepover,8.0,1,2013,0.0,"['Josh Feldman', 'Gus Kamp', 'Carolyn Jania', 'Kristine Blackburn', 'Walker Davis']",['Chris Cullari']
0.0,['Animation'],0.787493,2013-11-25,0,35.0,Dante's Hell Animated,8.0,4,2013,0.0,"['Jeff Conaway', 'Eric Roberts', 'Vincent Spano', 'Hélène Cardona', 'Nia Peeples', 'Silvia Colloca']",['Boris Acosta']
0.0,"['Drama', 'Thriller']",11.005911,2014-10-10,0,105.0,Addicted,5.4,63,2014,0.0,"['Robert Mitchum', 'Geneviève Page', 'Ingrid Thulin', ""Frédéric O'Brady"", 'Inga Tidblad', 'Lauritz Falk']",['Sheldon Reynolds']
0.0,['Horror'],5.839324,2013-06-28,21660,123.0,The ABCs of Death,4.7,175,2013,0.0,"['Pamela Tola', 'Aku Hirviniemi', 'Vesa Vierikko', 'Mari Perankoski', 'Jarkko Niemi', 'Aarre Karén', 'Hannele Lauri', 'Armi Toivanen', 'Essi Hellén', 'Riku Nieminen', 'Niina Lahtinen', 'Eila Roine', 'Miia Nuutila', 'Krisse Salminen', 'Eero Ritala']",['Johanna Vuoksenmaa']
0.0,['Drama'],0.465373,2013-07-07,0,88.0,The Eternal Return of Antonis Paraskevas,6.0,4,2013,0.0,[],[]
0.0,"['Crime', 'Drama', 'Mystery']",3.897281,2013-09-12,0,93.0,Blue Caprice,5.8,42,2013,0.0,"['Michael Jackson', 'Spike Lee', 'Sheryl Crow', 'Cee Lo Green', 'Mariah Carey', 'Ahmir-Khalib Thompson', 'Kanye West', 'Martin Scorsese', 'Thelma Schoonmaker', 'Stevie Wonder', 'Whitney Houston', 'Wesley Snipes', 'Quincy Jones', 'Justin Bieber']",['Spike Lee']
0.0,"['Documentary', 'Music']",2.690008,2013-06-27,125,96.0,A Band Called Death,7.1,36,2013,0.0,"['Scott Elrod', 'Dorian Brown', 'Charles Henry Wyson', 'James Devoti', 'Nicole Leigh', 'Drew Waters', 'Vivica A. Fox', 'Robert Peters', 'Samantha Isler', 'Ty Fanning', 'Brian Shoop', 'Doug Van Liew', 'J. Alan Davidson', 'Nathaniel Dupree']",['David Boyd']
6000000.0,['Drama'],2.871891,2013-08-16,0,93.0,Standing Up,6.5,18,2013,0.0,"['Hyun Bin', 'Tang Wei', 'Jun Kim', 'John Wu', 'Danni Lang', 'Katarina Choi']",['Kim Tae-yong']
10000000.0,['Drama'],6.383512,2013-08-08,1585582,92.0,Lovelace,6.0,234,2013,0.16,"['Kristen Dalton', 'Sal Rendino', 'Kevin Interdonato', 'Nicole Haddad', 'Carol Bayruns', 'Monica Knight', 'Rebecca De Ornelas']",['Gregory J. Corrado']
0.0,"['Drama', 'Thriller', 'Action']",7.089715,2013-06-30,0,99.0,Assault on Wall Street,5.8,215,2013,0.0,"['Luke Goss', 'Caroline Tillette', 'Stephen Marcus', 'Danny Midwinter']",['Perry Bhandal']
1000000.0,"['Documentary', 'Music']",8.283621,2013-06-14,0,89.0,20 Feet from Stardom,7.4,85,2013,0.0,"['Mang Fely', 'Dolores Santamaria', 'Georgette Baudry', 'Katrin Muller', 'Hartmut Lerch', 'Kidlat Tahimik']",['Kidlat Tahimik']
200000000.0,"['Animation', 'Family']",16.267502,2013-06-20,743559607,104.0,Monsters University,7.0,3622,2013,3.72,[],['Jorge Costa']
0.0,"['History', 'Action', 'Adventure']",5.093586,2013-07-05,641,99.0,Hammer of the Gods,4.4,95,2013,0.0,"['Blayne Weaver', 'Martin Starr', 'Natalie Morales', 'Patrick J. Adams', 'Vanessa Branch', 'John Michael Higgins', 'Dave Foley', 'Jaime Pressly', 'Brandon Barrera', 'Kristina Klebe', 'Nate Rubin', 'Samantha Shelton', 'Lena Clark', 'Sarah Jane Morris', 'Erin Cahill', 'David Giuntoli']",['Blayne Weaver']
750000.0,"['Comedy', 'Romance']",0.618902,2013-06-18,0,92.0,American Idiots,4.3,9,2013,0.0,"['Elijah Wood', 'America Olivo', 'Nora Arnezeder', 'Zoe Aggeliki', 'Jan Broberg', 'Joshua De La Garza', 'Dan Hunter', 'Genevieve Alexandra', 'Liane Balaban', 'Megan Duffy', 'Luis Fernandez-Gil', 'Aaron Colom', 'Akbar Kurtha', 'Sal Landi', 'Délé Ogundiran', 'Bryan Lugo', 'Ron Reznik', 'Devra Korwin', 'Steffinnie Phrommany', 'Mike McCarty', 'Brian Ames', 'Patrick Orr', 'Mic Rodgers', 'Sammi Rotibi', 'Rochelle Rudolph', 'Lauren Emily Vaughan', 'Steven James Williams']",['Franck Khalfoun']
0.0,"['Action', 'Thriller']",3.206962,2013-06-30,0,86.0,A Common Man,5.5,23,2013,0.0,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day', 'Ron Perlman', 'Burn Gorman', 'Rinko Kikuchi', 'Max Martini', 'Robert Maillet', 'Robert Kazinsky', 'Larry Joe Campbell', 'Brad William Henke', 'Clifton Collins Jr', 'Diego Klattenhoff', 'Santiago Segura', 'Jane Watson', 'Jung-Yul Kim', 'Heather Doerksen', 'Joshua Peace', 'Mana Ashida', 'Joe Pingue', 'Milton Barnes', 'Brian Frank', 'Ellen McLain', 'David Fox', 'Jake Goodman', 'Robin Thomas', 'Julian Barnes', 'David Richmond-Peck', 'Sebastian Pigott', 'Victoria Marie', 'J.C. Kenny', 'Robert Morse', 'Mike Chute', 'Duncan McLeod', 'Louis Paquette', 'Matthew G. Taylor', 'Frank Nakashima', 'Terry Belleville', 'Farzad Sadrian', 'Mishu Vellani', 'Clive Walton', 'Peter Kosaka', 'Yiren Stark']",['Guillermo del Toro']
180000000.0,"['Action', 'Science Fiction', 'Adventure']",33.949359,2013-07-11,407602906,131.0,Pacific Rim,6.7,4903,2013,2.26,"['Clancy Brown', 'Rob Paulsen', 'Brian Bloom', 'Laura Bailey', 'Troy Baker', 'Travis Willingham', 'Kari Wahlgren', 'Charlie Schlatter', 'Christopher Corey Smith', 'Katherine Von Till', 'Erin Shanagher']",['Jon Burton']
200000000.0,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",26.114917,2013-06-20,531865000,116.0,World War Z,6.7,5683,2013,2.66,"['Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Alice Braga', 'Diego Luna', 'Wagner Moura', 'William Fichtner', 'Faran Tahir', 'Jose Pablo Cantillo', 'Maxwell Perry Cotton', 'Brandon Auret', 'Josh Blacker', 'Emma Tremblay', 'Adrian Holmes', 'Jared Keeso', 'Michael Shanks', 'Carly Pope', 'Ona Grauer', 'Terry Chen', 'Chris Shields', 'Christina Cox', 'Derek Gilroy', 'Talisa Soto', 'Claire Smithies']",['Neill Blomkamp']
115000000.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']",15.232738,2013-08-07,286140700,109.0,Elysium,6.4,3510,2013,2.49,"['Nasser Al Aulaqi', 'Saleha Al Aulaqi', 'Muqbal Al Kazemi', 'Abdul Rahman Barman', 'Saleh Bin Fareed']",['Rick Rowley']
125687.0,"['Science Fiction', 'Thriller']",6.964263,2013-06-27,0,90.0,Europa Report,6.2,549,2013,0.0,"['Johan Rheborg', 'Alexandra Rapaport', 'Kristian Luuk', 'Gerd Hegnell', 'Pia Johansson', 'Martina Haag', 'Pernilla Stalfelt', 'Karolina Rahm', 'Claudia Galli', 'Ulf Kvensler', 'Henrik Hjelt', 'Gloria Tapia', 'Magnus Härenstam']",['Fredrik Lindström']
76000000.0,"['Animation', 'Comedy', 'Family']",24.82355,2013-06-25,970761885,98.0,Despicable Me 2,7.0,4729,2013,12.77,"['Channing Tatum', 'Jamie Foxx', 'Joey King', 'Maggie Gyllenhaal', 'Richard Jenkins', 'James Woods', 'Nicolas Wright', 'Jimmi Simpson', 'Michael Murphy', 'Rachelle Lefevre', 'Lance Reddick', 'Matt Craven', 'Jake Weber', 'Peter Jacobson', 'Jason Clarke', 'Kevin Rankin', 'Garcelle Beauvais', 'Falk Hentschel', 'Romano Orzari', 'Jackie Geary', 'Andrew Simms']",['Roland Emmerich']
150000000.0,"['Action', 'Drama', 'Thriller']",9.920223,2013-06-27,205366737,131.0,White House Down,6.3,1910,2013,1.37,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Eddie Marsan', 'Paddy Considine', 'Rosamund Pike', 'Pierce Brosnan', 'David Bradley', 'Thomas Law', 'Zachary Bailess', 'Jasper Levine', 'James Tarpey', 'Luke Bromley', 'Sophie Evans', 'Samantha White', 'Rose Reynolds', 'Richard Hadfield', 'Flora Slorach', 'Francesca Reidie', 'Charlotte Reidie', 'Michael Smiley', 'Alex Austin', 'Jonathan Aris', 'Jenny Bede', 'Angie Wallis', 'Paul Bentall', 'Richard Graham', 'Alice Lowe', 'Rafe Spall', 'Leo Thompson', 'Steve Oram', 'Julia Deakin', 'Greg Townley', 'Sebastian Zaniesienko', 'Luke Scott', 'Tyler Dobbs', 'Samuel Mak', 'Teddy Kempner', 'Mark Kempner', 'Nick Holder', 'Darren Boyd', 'Paul Kennington', 'Mike Sarne', 'Reece Shearsmith', 'Nicholas Burns', 'Mark Heap', 'Kelly Franklin', 'Stacey Franklin', 'James Granstrom', 'Gabe Cronnelly', 'Patricia Franklin', 'Bill Nighy', 'Mark Donovan', 'Ricky Champ', 'Ken Bones']",['Edgar Wright']
20000000.0,"['Comedy', 'Action', 'Science Fiction']",9.830382,2013-07-18,46089287,109.0,The World's End,6.7,1820,2013,2.3,"['Leigh Francis', 'Kelly Brook', 'Holly Willoughby', 'Kevin Bishop']",['Paul Angunawela']
43000000.0,"['Action', 'Comedy', 'Crime']",12.706403,2013-06-27,158674180,117.0,The Heat,6.5,1595,2013,3.69,"['Kevin Bishop', 'Jack Doolan', 'Frances Barber', 'Kasia Koleczek', 'Hayley-Marie Axe', 'Rosemary Leach']",['Stuart Urban']
255000000.0,"['Action', 'Adventure', 'Western']",12.729104,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2361,2013,0.35,"['Gad Elmaleh', 'Sophie Marceau', 'Maurice Barthélemy', 'François Berléand', 'Michaël Abiteboul', 'Julie-Anne Roth', 'Geoffrey Bateman', 'Audrey Looten']",['James Huth']
2500000.0,"['Comedy', 'Drama', 'Romance']",8.098964,2013-08-02,6854611,95.0,The Spectacular Now,6.8,1074,2013,2.74,"['Mark Ruffalo', 'Gwyneth Paltrow', 'Tim Robbins', 'Josh Gad', 'Pink', 'Patrick Fugit', 'Joely Richardson', 'Carol Kane', 'Emily Meade', 'Isiah Whitlock Jr.', 'Poorna Jagannathan', 'Tony Joe', 'Jordan Dean', 'Michaela Watkins', 'Okieriete Onaodowan', 'Natalia Volkodaeva', 'Paul Urcioli', 'Kenneth Maharaj', 'Meng Ai', 'Juan Leon', 'Geoffrey Molloy', 'Maureen Sebastian', 'Marcus Neville', 'Sarah Helen Baskin', 'Alexis Suarez', 'Terry Walters', 'George Demas', 'David Wain', 'Brian Koppelman', 'Geoffrey Cantor', 'Gary Silberman', 'Ben Boime', 'Linn Yen']",['Stuart Blumberg']
0.0,"['Drama', 'Comedy', 'Romance']",5.499664,2013-08-30,0,98.0,The Lifeguard,5.2,126,2013,0.0,[],['Emiko Omori']
0.0,['Documentary'],0.742895,2013-07-03,0,100.0,Big Star: Nothing Can Hurt Me,6.8,10,2013,0.0,[],['Sebastian Junger']
0.0,['Documentary'],2.82234,2013-06-20,0,106.0,Downloaded,6.6,37,2013,0.0,"['Sean Bridgers', 'Lauren Ashley Carter', 'Sean Young', 'Larry Fessenden', 'Daniel Manche', 'Kaitlin Cullum', 'David S. Greathouse', 'Katie Groshong', 'Scott Hodges', 'Alex Maizus', 'Chip Ramsey', 'Jennifer Spriggs', 'Marvin Starkman', 'Carol Jean Wells', 'Mathieu Whitman']",['Chad Crawford Kinkle']
0.0,"['Horror', 'Thriller', 'Drama']",5.305049,2013-08-09,0,81.0,Jug Face,5.3,71,2013,0.0,"['Anna May Wong', 'George Robey', 'Fritz Kortner', 'John Garrick', 'Pearl Argyle', ""Malcolm 'Mr. Jetsam' McEachern"", 'Dennis Hoey', 'Sydney Fairbrother', 'Laurence Hanray', 'Frank Cochrane', 'Thelma Tuson', 'Francis L. Sullivan', 'Gibb McLaughlin', 'Kiyoshi Takase']",['Walter Forde']
1000000.0,"['TV Movie', 'Horror']",4.928195,2013-07-11,0,86.0,Sharknado,3.8,484,2013,0.0,"['Derek Jacobi', 'Claire Bloom', 'Claire Bloom', 'Claire Bloom', 'Lalla Ward', 'David Robb']",['Rodney Bennett']
0.0,['Drama'],13.305596,2013-07-25,17385830,85.0,Fruitvale Station,7.3,397,2013,0.0,"['Bruno Henry', 'Bruno Henry', 'Dace Eversa']",[]
